start [seconds];end [seconds];frog species;recording;sequence within recording;ioi* [seconds];situation;* in this case end-to-end intervals
90,308328;90,733208;WSF;4;WSF 1;1,74352399999999;alone;
92,055459;92,476732;WSF;4;WSF 1;0,595121000000006;alone;
92,93768;93,071853;WSF;4;WSF 1;1,991671;alone;
94,694189;95,063524;WSF;4;WSF 1;1,613679;alone;
96,419678;96,677203;WSF;4;WSF 1;1,38645199999999;alone;
97,745535;98,063655;WSF;4;WSF 1;1,55380600000001;alone;
99,224321;99,617461;WSF;4;WSF 1;1,755787;alone;
100,995977;101,373248;WSF;4;WSF 1;0,337595999999991;alone;
101,439613;101,710844;WSF;4;WSF 1;0,765360999999999;alone;
102,07513;102,476205;WSF;4;WSF 1;1,26165700000001;alone;
103,553915;103,737862;WSF;4;WSF 1;1,485277;alone;
104,7355;105,223139;WSF;4;WSF 1;0,983211999999995;alone;
105,79734;106,206351;WSF;4;WSF 1;2,505278;alone;
108,267272;108,711629;WSF;4;WSF 1;1,29628200000001;alone;
109,567882;110,007911;WSF;4;WSF 1;0,580692999999997;alone;
110,357048;110,588604;WSF;4;WSF 1;0,282772999999992;alone;
110,614573;110,871377;WSF;4;WSF 1;0,917568000000003;alone;
111,538634;111,788945;WSF;4;WSF 1;2,072463;alone;
113,4322;113,861408;WSF;4;WSF 1;1,42756900000001;alone;
114,805667;115,288977;WSF;4;WSF 1;0,613875999999991;alone;
115,463546;115,902853;WSF;4;WSF 1;0,665814000000012;alone;
116,184904;116,568667;WSF;4;WSF 1;0,656436999999997;alone;
116,885344;117,225104;WSF;4;WSF 1;0,0880049999999954;alone;
117,239531;117,313109;WSF;4;WSF 1;0,592956999999998;alone;
117,448725;117,906066;WSF;4;WSF 1;0,315234000000004;alone;
117,979645;118,2213;WSF;4;WSF 1;0,486917000000005;alone;
118,354751;118,708217;WSF;4;WSF 1;0,642009000000002;alone;
118,885671;119,350226;WSF;4;WSF 1;2,42448599999999;alone;
121,5345;121,774712;WSF;4;WSF 1;0,875008000000008;alone;
122,076962;122,64972;WSF;4;WSF 1;0,906026999999995;alone;
123,006072;123,555747;WSF;4;WSF 1;2,07029900000001;alone;
125,219921;125,626046;WSF;4;WSF 1;0,678798999999998;alone;
