Bass,Bass peak,Clave,Clave peak,Guitar,Guitar peak,Tres,Tres peak,Bongos,Bongos peak,Bell,Bell peak,Trumpet,Trumpet peak
127.385342,0.660368,125.876738,0.44741,47.904738,0.175482,64.111551,0.286442,51.82256,0.05757,207.003254,0.255985,289.627625,0.593124
127.588864,0.610436,126.321559,0.438218,48.139239,0.434422,64.367626,0.193179,52.040853,0.045296,207.218124,0.556023,289.818508,1.002716
127.848472,0.841894,127.176931,0.509756,48.368921,0.380768,64.998971,0.421979,52.24778,0.022243,207.655663,0.106555,290.014529,0.45464
128.036417,0.365626,127.84525,0.690635,48.589573,0.487766,65.406691,0.271982,52.452616,0.134587,208.094725,0.714686,290.240787,0.354382
128.213638,0.303505,128.489956,0.494195,48.773301,0.390604,65.82435,0.220254,52.67441,0.078432,208.327294,0.180896,290.44784,0.261756
128.476019,0.417025,129.35852,0.556112,48.993119,0.300276,66.06266,0.370428,52.886901,0.072498,208.981511,0.353339,290.740872,0.300636
128.653558,0.283504,129.815539,0.546407,49.207914,0.299729,66.706373,0.45391,53.105473,0.051087,209.631275,0.380277,290.938945,0.403044
129.77297,0.690256,130.707901,0.374194,49.433252,0.326428,66.853493,0.15785,53.309087,0.461354,210.249072,1.00036,291.103202,0.535786
130.181697,0.773172,131.345384,0.365438,49.624226,0.10402,67.129996,0.333025,53.533194,0.262299,286.135426,0.171495,291.228608,0.374167
131.564019,0.560008,132.005199,0.403227,49.862641,0.279021,67.599241,0.387237,53.956839,0.023193,286.352904,0.247777,291.375088,0.395488
131.961439,0.515521,132.906683,0.339241,50.084881,0.303437,68.243805,0.420507,54.182238,0.067041,286.563607,0.210238,291.50891,0.417897
132.175731,0.311255,133.344323,0.388401,50.301028,0.148952,68.598752,0.143118,54.409187,0.029336,286.7855,0.331456,291.674619,0.768704
132.358869,0.279481,134.216497,0.524371,50.50956,0.536785,68.893731,0.462549,54.618699,0.042273,287.010619,0.356623,291.876097,0.699456
133.10413,0.53898,134.872156,0.874741,50.706641,0.553164,69.109831,0.214443,54.769278,0.19191,287.233676,0.353373,292.077092,0.456616
133.320375,0.601396,135.545503,0.786118,50.941723,0.498438,71.031181,0.455207,54.903888,0.340747,287.456082,0.402461,292.283308,0.443807
133.948182,0.527339,136.428887,0.566448,51.136895,0.207245,71.179298,0.127865,55.044237,0.551231,287.677255,0.967142,292.500602,0.446086
134.225083,0.721861,136.669519,0.266887,51.340539,0.260022,71.688831,0.399812,55.183228,0.461512,288.094744,0.122608,292.781689,0.505262
134.867837,0.372423,136.891038,0.517118,51.544135,0.485308,72.309614,0.293715,55.312237,0.688638,288.571114,0.553892,293.151344,0.534878
135.527057,0.537221,137.74339,0.572697,51.772875,0.385904,72.545136,0.194121,55.481867,0.678039,289.025097,0.097293,293.41629,0.367663
135.745909,0.476352,138.410159,0.669083,52.026786,0.384079,72.95435,0.193343,55.931573,0.211137,289.244554,0.106247,293.697341,0.411608
