Piece,Label SD,SD,Clave_?,Section,Clave,Bass ,Guitar,Tres,Bongo,Bell,Cajon,Conga,Trumpet,Cl_Dens,Bs_Dens,Gt_Dens,Tr_Dens,Bn_Dens,Bl_Dens,Cj_Dens,Cn_Dens,Tm_Dens,Cl_Peak,Bs_Peak,Gt_Peak,Tr_Peak,Bn_Peak,Bl_Peak,Cj_Peak,Cn_Peak,Tm_Peak
Song_1,9|14,14,N,Son,,,,,65.688889,,,65.729055,,,,,,,,,4.5,,,,,,0.048648,,,0.349209,
Song_1,9|15,15,5,Son,,,,,65.879865,,,65.902395,,,,,,,,,4.5,,,,,,0.133022,,,0.292703,
Song_1,9|16,16,N,Son,,66.069037,,,,,,66.098378,,,1.5,,,,,,4.5,,,0.36756,,,,,,0.422692,
Song_1,10|1,1,N,Son,,66.30896,66.306611,66.278953,,,,,,,1.5,1,1.5,,,,,,,0.475936,0.278802,0.061867,,,,,
Song_1,10|2,2,N,Son,,,,,,,,66.45181,,,,,,,,,5,,,,,,,,,0.059618,
Song_1,10|3,3,1,Son,,,,,,,,66.632154,,,,,,,,,5,,,,,,,,,0.079693,
Song_1,10|4,4,N,Son,,66.818738,66.809503,66.822246,,,,,,,1.5,1,1,,,,,,,0.483653,0.329794,0.075655,,,,,
Song_1,10|5,5,2,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,10|6,6,N,Son,,,,,,,,67.170258,,,,,,,,,4.5,,,,,,,,,0.174623,
Song_1,10|7,7,N,Son,,67.343053,67.388521,67.362919,,,,67.349838,,,2,1.5,1.5,,,,4.5,,,0.563722,0.342041,0.061846,,,,0.345512,
Song_1,10|8,8,N,Son,,,,67.55171,,,,67.553566,,,,,2,,,,4.5,,,,,0.185577,,,,0.397096,
Song_1,10|9,9,3,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,10|10,10,N,Son,,,,67.900994,,,,67.91959,,,,,2.5,,,,4.5,,,,,0.050292,,,,0.060067,
Song_1,10|11,11,N,Son,,,,,68.106625,,,68.099189,,,,,,2,,,4.5,,,,,,0.246928,,,0.079928,
Song_1,10|12,12,4,Son,,,,68.263642,68.290585,,,68.297189,,,,,3,2.5,,,4.5,,,,,0.086551,0.586816,,,0.126644,
Song_1,10|13,13,N,Son,,,,,68.510941,,,,,,,,,3,,,,,,,,,0.557323,,,,
Song_1,10|14,14,N,Son,,,,,,,,68.633395,,,,,,,,,4.5,,,,,,,,,0.292191,
Song_1,10|15,15,5,Son,,,,,,,,68.815885,,,,,,,,,5,,,,,,,,,0.276046,
Song_1,10|16,16,N,Son,,69.018098,,,,,,69.003722,,,1,,,,,,5.5,,,0.499612,,,,,,0.352535,
Song_1,11|1,1,N,Son,,,69.206561,69.168517,,,,,,,,1.5,2.5,,,,,,,,0.334351,0.053411,,,,,
Song_1,11|2,2,N,Son,,,,,69.379242,,,69.363384,,,,,,5,,,5,,,,,,0.162186,,,0.065635,
