Bass,Bass peak,Clave,Clave peak,Guitar,Guitar peak,Tres,Tres peak,Bongos,Bongos peak,Bell,Bell peak,Cajon,Cajon peak,Conga,Conga peak,Trumpet,Trumpet peak
65.992762,0.445014,94.818989,0.12133,29.5093,0.358783,44.928685,0.338186,28.752699,0.14879,151.633074,0.310734,268.077201,0.479934,29.483554,0.474098,62.596565,0.182827
66.395161,0.792339,94.920855,0.05777,29.665752,0.272384,45.230299,0.288659,28.919543,0.040042,151.930605,0.195048,268.913548,0.21518,29.646785,0.126433,62.849347,0.386336
66.854703,0.511358,95.064077,0.15704,29.933179,0.401139,45.498577,0.135059,29.067228,0.018734,152.076871,0.266679,269.187447,0.424278,29.773573,0.031405,63.06096,0.531777
67.169593,0.416197,95.362857,0.221352,30.080094,0.34632,46.137426,0.27058,29.184787,0.588165,152.338014,0.158061,270.072124,0.175725,29.903777,0.130287,63.250982,0.200383
67.572111,0.490314,95.518562,0.039733,30.238541,0.12786,46.433064,0.197001,29.328187,0.097723,152.513906,0.320827,270.337856,0.463644,30.068451,0.054123,63.436759,0.391394
68.008965,0.321347,95.644369,0.170283,30.383477,0.233685,46.585337,0.148925,29.48178,0.731888,152.76764,0.114968,271.196143,0.250009,30.343864,0.061219,63.746157,0.316415
68.616931,0.618947,96.01082,0.09687,30.51492,0.38316,46.727275,0.352953,29.640524,0.609037,152.923247,0.349338,271.465245,0.482278,30.473401,0.370142,64.030709,0.366863
69.20125,0.689844,96.382649,0.126472,30.67001,0.335544,47.008726,0.341698,29.782322,0.04989,153.098146,0.074231,272.312858,0.362854,30.643105,0.387148,64.325883,0.307777
69.946113,0.518683,97.359394,0.026334,30.822982,0.334456,47.264278,0.209887,29.93836,0.028263,153.19721,0.168751,272.580256,0.581116,30.836609,0.026609,64.624787,0.392309
70.371897,0.831522,99.725312,0.026767,30.964227,0.267335,47.559262,0.22837,30.093521,0.128408,153.478099,0.185736,273.4276,0.160623,30.932603,0.046132,65.228818,0.49719
71.098175,0.619917,100.317887,0.056178,31.1094,0.238836,47.856447,0.343209,30.258508,0.088228,153.651575,0.348699,273.679976,0.263542,31.047458,0.121022,65.439291,0.63438
71.560775,0.658041,101.071509,0.02714,31.243261,0.268291,48.168523,0.227098,30.392181,0.066041,153.729376,0.096313,274.584703,0.354769,31.207792,0.059796,65.654967,0.753388
71.916289,0.551646,101.647611,0.028902,31.387673,0.339384,48.443579,0.135664,30.482407,0.080573,153.915309,0.317931,274.840177,0.527303,31.499701,0.077229,65.865098,0.471068
72.352315,0.455249,101.833381,0.075698,31.512585,0.186883,48.591162,0.193839,30.652236,0.095407,154.208593,0.288794,275.615769,0.281476,31.632684,0.497875,66.119919,0.432134
72.8911,0.494345,102.071588,0.054119,31.662087,0.476329,48.768826,0.170734,30.827165,0.135035,154.353969,0.340464,276.249075,0.239502,31.794308,0.41029,66.416634,0.245586
73.456982,0.404345,102.246604,0.061013,31.829195,0.347747,49.334276,0.206608,30.948675,0.056368,154.63774,0.174701,276.83217,0.300255,32.094918,0.036279,66.707188,0.128212
73.783284,0.611282,102.51809,0.066034,32.087075,0.291,49.598874,0.113863,31.080245,0.035797,154.792605,0.467894,277.413758,0.275134,32.222508,0.132269,66.997717,0.121598
74.211685,0.446618,102.667371,0.08499,32.238388,0.197716,49.743895,0.114994,31.240572,0.04177,154.906222,0.145832,277.995745,0.334049,32.373355,0.052251,67.278349,0.153122
74.648814,0.500616,103.421624,0.04898,32.396244,0.358727,49.891727,0.194671,31.366957,0.044529,155.043483,0.204843,278.579178,0.237606,32.661551,0.042468,67.57836,0.232338
74.908189,0.399584,104.211658,0.06821,32.549152,0.239206,50.156059,0.164639,31.496839,0.117149,155.206118,0.454352,279.162043,0.184211,32.798364,0.294785,67.787957,0.462636
75.237358,0.506792,104.426908,0.059371,32.673885,0.225404,50.290793,0.153756,31.630994,0.48678,155.47104,0.278554,279.744634,0.179225,32.962577,0.365462,67.998367,0.350749
